OPUS ID,Instrument Name,Planet,Intended Target Name,Observation Start Time,Observation Duration (secs)
co-iss-n1463533844,Cassini ISS,Saturn,Saturn,2004-05-18T00:46:22.110,32.0000
co-iss-n1463533916,Cassini ISS,Saturn,Saturn,2004-05-18T00:47:44.109,22.0000
co-iss-n1463533964,Cassini ISS,Saturn,Saturn,2004-05-18T00:48:44.117,10.0000
co-iss-n1463533998,Cassini ISS,Saturn,Saturn,2004-05-18T00:49:26.921,1.2000
co-iss-n1463534038,Cassini ISS,Saturn,Saturn,2004-05-18T00:49:50.124,18.0000
co-iss-n1463534055,Cassini ISS,Saturn,Saturn,2004-05-18T00:50:24.868,0.2600
co-iss-n1463534072,Cassini ISS,Saturn,Saturn,2004-05-18T00:50:41.568,0.5600
co-iss-n1463534089,Cassini ISS,Saturn,Saturn,2004-05-18T00:50:58.948,0.1800
co-iss-n1463534106,Cassini ISS,Saturn,Saturn,2004-05-18T00:51:15.448,0.6800
co-iss-n1463534123,Cassini ISS,Saturn,Saturn,2004-05-18T00:51:32.908,0.2200
co-iss-n1463534140,Cassini ISS,Saturn,Saturn,2004-05-18T00:51:48.127,2.0000
co-iss-n1463534157,Cassini ISS,Saturn,Saturn,2004-05-18T00:52:06.127,1.0000
co-iss-n1463534189,Cassini ISS,Saturn,Saturn,2004-05-18T00:52:33.535,5.6000
co-iss-n1463534206,Cassini ISS,Saturn,Saturn,2004-05-18T00:52:54.139,2.0000
co-iss-n1463534246,Cassini ISS,Saturn,Saturn,2004-05-18T00:53:18.142,18.0000
co-iss-n1463534334,Cassini ISS,Saturn,Saturn,2004-05-18T00:54:26.146,38.0000
co-iss-n1463534390,Cassini ISS,Saturn,Saturn,2004-05-18T00:55:42.153,18.0000
co-iss-n1463534430,Cassini ISS,Saturn,Saturn,2004-05-18T00:56:37.557,2.6000
co-iss-n1463534478,Cassini ISS,Saturn,Saturn,2004-05-18T00:57:19.960,8.2000
co-iss-n1463534511,Cassini ISS,Saturn,Saturn,2004-05-18T00:57:59.964,1.2000
co-iss-n1463534559,Cassini ISS,Saturn,Saturn,2004-05-18T00:58:40.972,8.2000
co-iss-n1463534576,Cassini ISS,Saturn,Saturn,2004-05-18T00:59:04.975,1.2000
co-iss-n1463535832,Cassini ISS,Saturn,Saturn,2004-05-18T01:19:30.097,32.0000
co-iss-n1463535904,Cassini ISS,Saturn,Saturn,2004-05-18T01:20:52.096,22.0000
co-iss-n1463535952,Cassini ISS,Saturn,Saturn,2004-05-18T01:21:52.104,10.0000
co-iss-n1463535986,Cassini ISS,Saturn,Saturn,2004-05-18T01:22:34.908,1.2000
co-iss-n1463536026,Cassini ISS,Saturn,Saturn,2004-05-18T01:22:58.111,18.0000
co-iss-n1463536043,Cassini ISS,Saturn,Saturn,2004-05-18T01:23:32.855,0.2600
co-iss-n1463536060,Cassini ISS,Saturn,Saturn,2004-05-18T01:23:49.555,0.5600
